# Work, school, money, legal help, IDs, veterans, disability and seniors in the 71 places added on 2026-09-24
# (every city and township a DDOT or SMART bus reaches: 24 in Wayne, 32 in Oakland, 15 in Macomb). Batch `work-money-legal`.
# Categories: jobs.find, jobs.training, learn.school, learn.english, money.tax, money.benefits, legal, legal.immigration,
# ids, veterans, disability, seniors. (ids.mail: nothing found; see the end of this file.)
# Method: read on each organization's own site (or its own page on its city's, county's or the State's official site)
# on 2026-09-24, with a page reader that sends the same user agent as `pnpm check:sources` and extracts the page text the
# same way; WebFetch or a browser only where a site refuses scripts (those lines carry a `# BROWSER:` comment). Web search
# was used only to find sites, and ran out part way (session budget); after that, pages were found by following links
# from owners' home pages and reading their sitemaps. No fact comes from a search snippet or a directory.
# Every line (except the BROWSER ones) was checked the way check:sources will: the source_url page shows the phone
# (and phone2) and the street address. Rows with no phone show their house number and street on the source page.
# "Free" appears only where the owner's page says free / no cost. No staff names, no emails.
# Flags use `appointment_required` (docs/03), not `appointment`.
# Per-line notes for the steward are `# note:` lines directly above the line they concern.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url | extras

# ======== jobs ========
# Help finding a job (jobs.find) and free job training (jobs.training) in the 71 places added on 2026-09-24.
# Read on each organization's own site (or its own page on its county's site) on 2026-09-24, with the project's
# page reader (the same fetch pnpm check:sources uses) and, where a site refuses scripts, WebFetch. Web search was used
# only to find sites; no fact comes from a search snippet or a directory.
# Notes for the steward:
# - Oakland County Michigan Works! runs its centers through partners: Goodwill of Greater Detroit runs Pontiac and
#   Novi (goodwilldetroit.org), the Troy School District runs Troy, Gesher Human Services runs Waterford. The county's
#   own page (oaklandcountymi.gov/business/workforce-development/about) lists Novi, Oak Park, Pontiac, Troy and
#   Waterford, says the services are free, and lists "Tuition Assistance for Education/Training".
# - NOT listed on purpose: Oak Park (22180 Parklawn) — the county page says "*Closing September 25, 2026". Southfield
#   (21415 Civic Center Dr) closed June 30, 2026; the county says a new center for southern Oakland County "will open in
#   early Fall 2026". Add it when the county names the address.
# - SEMCA Michigan Works! (semcamiworks.org) refuses scripts (403). Its Wayne and Wyandotte centers are sourced from
#   the Downriver Community Conference's pages (dccwf.org), which operates them and which scripts can read. SEMCA's own
#   page (read with WebFetch) gives the Wyandotte center's phone as 734.362.3466; DCC's pages give 734-362-7070 and
#   say "please call 734-362-7070". We list DCC's number. SEMCA's Livonia and Southgate centers are gone (Southgate
#   moved to Wyandotte).
# - Macomb/St. Clair Michigan Works! centers print "Hours 8am - 5pm (Excluding Holidays)" with no days, so they arrive
#   call-first. The Port Huron center is outside the area.
# - Not repeated here because another file in this batch already has them: Chaldean Community Foundation job help,
#   Sterling Heights (part-learn.txt) and STEP Western Wayne job coaching, Westland (part-vd.txt).
Michigan Works! Novi service center | Oakland County Michigan Works! | jobs.find | Free help finding a job: computers, job search tools, workshops on resumes and interviews, job fairs and career coaching. Help with an unemployment claim. Some programs can help pay for training. | 31186 Beck Road | Novi | 48377 | (248) 926-1820 | https://www.oaklandcountymi.gov/business/workforce-development | Mon-Fri 8am-5pm | Open to everyone. Some programs have rules about who can join. For same-day help with an unemployment claim, come by 3:30pm. | https://www.goodwilldetroit.org/career-centers/michigan-works-novi/ |
Diploma and GED classes, Clinton Township (Chippewa Valley) | Chippewa Valley Schools Adult & Community Education | learn.school | Earn a high school diploma or get ready for the GED in a computer lab, with teachers there to help. You can also work from home. You must go to an orientation first. | 19230 Cass Avenue | Clinton Township | 48038 | 586-723-2053 | https://www.chippewavalleyschools.org/ | Call first | Age 20 or older by September 1. Bring your high school transcripts to orientation. | https://www.chippewavalleyschools.org/departments/community-ed/high-school-completion--ged-preparation/ | phone_label=Academic advisor; phone2=586-723-2050; phone2_label=Adult education; phone2_source_url=https://www.chippewavalleyschools.org/departments/community-ed/english-as-a-second-language/
English classes, Clinton Township (Chippewa Valley) | Chippewa Valley Schools Adult & Community Education | learn.english | English classes for adults, morning or late afternoon, September to June, plus an online reading program. You must go to an orientation first. There is a $40 sign-up fee that can be refunded. | 19230 Cass Avenue | Clinton Township | 48038 | 586-723-2050 | https://www.chippewavalleyschools.org/ | Mon-Thu 9am-noon & 4pm-7pm | Age 20 or older by September 1. Bring a photo ID and proof of where you live. No children in class. | https://www.chippewavalleyschools.org/departments/community-ed/english-as-a-second-language/ | flags=immigrants
Diploma and basic skills classes, Sterling Heights (Utica) | Utica Community Schools Adult Education | learn.school | In-person classes to earn a Utica high school diploma, plus basic reading, writing and math classes (ABE), morning or evening. Call to make a sign-up appointment. | 38901 Dodge Park Road | Sterling Heights | 48313 | (586) 797-6960 | https://cec.uticak12.org/ | Mon-Thu 9am-1:30pm & 5:30pm-9pm | Age 18 or older by July 1. Sign-up takes about 2.5 hours and includes a placement test. | https://cec.uticak12.org/adult-education/high-school-completion | phone_label=Adult Education Office
English classes, Sterling Heights (Utica) | Utica Community Schools Adult Education | learn.english | In-person English classes for adults, twice a week, morning or evening, with job and life skills. Call to make a sign-up appointment. | 38901 Dodge Park Road | Sterling Heights | 48313 | (586)797-6960 | https://cec.uticak12.org/ | Mon-Thu 9am-noon & 6pm-9pm | Age 18 or older by July 1. Everyone takes a placement test. | https://cec.uticak12.org/adult-education/english-as-a-second-language-esl-ase | phone_label=Adult Education Office; flags=immigrants
# note: Warren Woods adult ed also serves Van Dyke Public Schools (vdps.net/page/adult-education says so). A $30 registration fee. Classes began August 24 (diploma/HSE) and September 2-3 (ESL); registration closes February 26, 2027. Office Mon-Fri 7:30am-2:30pm, door 1.
Diploma and GED classes, Warren (Warren Woods) | Warren Woods Public Schools Adult & Community Education | learn.school | Classes to earn a high school diploma or pass the GED or HiSET, plus basic reading and math. HiSET testing by appointment. A $30 sign-up fee. | 12900 Frazho Rd | Warren | 48089 | 586-439-4668 | https://www.warrenwoods.misd.net/ | Call first | Age 18 or older by July 1, living in Macomb, Oakland or Wayne County. | https://www.warrenwoods.misd.net/our-schools/adultcommunity-education/ |
English classes, Warren (Warren Woods) | Warren Woods Public Schools Adult & Community Education | learn.english | English classes for adults: reading, writing, speaking and listening, plus computer basics and citizenship. A $30 sign-up fee. | 12900 Frazho Rd | Warren | 48089 | 586-439-4668 | https://www.warrenwoods.misd.net/ | Call first | Age 18 or older by July 1, not in K-12 school, living in Macomb, Oakland or Wayne County. | https://www.warrenwoods.misd.net/our-schools/adultcommunity-education/ | flags=immigrants
GED and diploma classes, St. Clair Shores (Lake Shore) | Lake Shore Public Schools, Lake Shore Adult Education | learn.school | GED prep classes (in person on Wednesday nights, online Monday and Tuesday nights) and an online high school diploma program. GED testing center on site. | 23340 Elmira Street | St. Clair Shores | 48082 | (586) 285-8880 | https://lsace.lakeshoreschools.org/ | Wed 6pm-9pm | Age 18 or older by July 1. Make an appointment for a placement test. | https://lsace.lakeshoreschools.org/adult_education/GED/g_e_d_test_prep_classes |
English classes, St. Clair Shores (Lake Shore) | Lake Shore Public Schools, Lake Shore Adult Education | learn.english | English classes for adults: in person in the morning, online late morning. Job and life skills too. | 23340 Elmira Street | St. Clair Shores | 48082 | (586) 285-8880 | https://lsace.lakeshoreschools.org/ | Mon-Thu 9am-11am | Age 18 or older by July 1. Everyone takes a placement test first. | https://lsace.lakeshoreschools.org/adult_education/e_s_l | flags=immigrants
# --- Wayne ---
GED classes, Downriver Campus (Taylor) | Wayne County Community College District | learn.school | GED prep classes to build reading, writing and math skills. Free tutoring once you enroll. | 21000 Northline Road | Taylor | 48180 | 313-496-2600 | https://www.wcccd.edu/ | Mon-Thu 9:30am-1:30pm & 5:30pm-9:30pm | Age 18 or older. | https://www.wcccd.edu/adult-education | phone_label=WCCCD main line
# --- Libraries ---
# note: Troy Public Library: the conversation partner program matches a learner with a volunteer who meet one hour a week "at a time and location that works best for both"; the library is where to sign up. Schedule is the library's hours from the same page.
Free English conversation partners, Troy Public Library | Troy Public Library | learn.english | A free program that matches adult English learners with a volunteer to practice talking in English, one hour a week for at least three months. All English levels welcome. | 510 W. Big Beaver Rd | Troy | 48084 | 248.524.3538 | https://troypl.org/ | Mon-Thu 9:30am-9pm; Fri-Sat 9:30am-5pm; Sun 1pm-5pm | Troy residents. | https://troypl.org/services/adults/english_conversation_partners.php | flags=immigrants
# note: Novi Library: "An Evening of English" (select Mondays 6:30pm), eight-week English lessons in fall and spring (beginner or intermediate/advanced), and an ESL book club ($9 book fee). Registration required. The page does not say the lessons are free. Schedule is the library's hours from the same page.
English lessons, Novi Library | Novi Public Library | learn.english | English lessons and conversation for adults: eight-week classes in fall and spring for beginners or higher levels, and some Monday evenings. Sign up first. | 45255 Ten Mile Road | Novi | 48375 | 248-349-0720 | https://www.novilibrary.org/ | Call first | Age 18 or older. Registration required. No childcare. | https://www.novilibrary.org/international/eslell-citizenship/ | flags=immigrants
# note: Wixom ESL Cafe: the source is the library's own event page for a weekly series (dates listed through 12/17/26, skipping some weeks, e.g. 10/8 and 10/15). When the series ends the page may go away; re-check then.
Free English conversation, Wixom Library (ESL Cafe) | Wixom Public Library | learn.english | Practice English over coffee and talk with people from other countries who are learning English too. Most Thursday afternoons. No sign-up needed. | 49015 Pontiac Trail | Wixom | 48393 | (248) 624-2512 | https://www.wixomlibrary.org/ | Thu 2pm-3pm | Adults. | https://www.wixomlibrary.org/event/esl-cafe-14486 | flags=immigrants,walk_in

# ======== money ========
# money.benefits and money.tax in the 71 new places (Wayne, Oakland, Macomb), researched 2026-09-24.
# Method: every fact read on the owner's own page on 2026-09-24 with the project's rd.mts (same request as
# check:sources). Web search was used only to find the Macomb County pages; no fact comes from a snippet or a directory.
# No staff names, no emails.
# Notes for a steward:
# - MDHHS offices: address and information line are from the office's directory page
#   (mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=...), the frame inside each michigan.gov county-office page.
#   Office hours are not printed, so every MDHHS row is "Call first". The Oakland offices all print the county
#   information line 248-975-4800. The ZIPs served by the three Wayne offices come from MDHHS's "Wayne County District
#   Offices Zip Code Assignments" PDF dated October 8, 2025 (linked from michigan.gov/mdhhs/.../county-offices/wayne).
#   Oakland and Macomb publish no ZIP list, so those rows say nothing about who each office serves.
# - Greydale/Grand River office: the page prints the city as "Redford", the mailing name for Redford Township.
# - Free tax help, Ferndale (Accounting Aid Society): the Summer/Fall 2026 calendar puts the "Oakland" site on every
#   Tuesday to Friday from 09/01 to 10/16/2026 (Sites Close at 2pm on 9/3 and 10/1, without saying which site).
#   After import, set valid_to 2026-10-16 on its schedule rows, as for the Detroit sites of 2026-09-19. The page gives
#   no name for the building at 22540 Woodward. The $69,000 limit is on accountingaidsociety.org/no-cost-tax-preparation/.
# - Honor Community Health: the enrollment facts ("Community Health Workers ... available at all of our health
#   centers", Medicaid, Healthy Michigan Plan, Medicare, Marketplace, Food Stamps, call (248) 724-7600 for an
#   appointment) are on honorcommunityhealth.org/health-insurance-enrollment/, which prints no address; each row's
#   source_url is that center's own page, which prints the address, the phone and the center's hours. Plum Hollow
#   (Southfield) is open Fridays only. The health centers themselves are health.clinic listings for another batch.
# - AgeWays (Area Agency on Aging 1-B): the seniors batch lists the same office as `seniors`; this row is only the
#   Medicare counseling program (SHIP/MI Options), like the DAAA MI Options row of 2026-09-19.
# - Jewish Family Service: the benefits sentence is on its Basic Needs page, which prints both offices (West Bloomfield
#   and Oak Park) without saying which one does enrollment; the row uses the West Bloomfield office and says to call.
#   The 8:30am-5pm hours on its contact page are the Resource Center phone hours, not lobby hours.
# - ACC (Arab American and Chaldean Council) DHHS program, Troy: address and phone are from ACC's own directory
#   (myacc.org/directory/). What the program does is from myacc.org/programs-services/dhhs-program/. ACC's site
#   currently shows injected spam words in its menu ("ponstel south africa ..."); the directory text itself reads
#   normally. A person may want to call before this is published.
# - Unemployment office, Sterling Heights: the address, the hours and the walk-in rule are from UIA's news release of
#   2026-09-14. That page prints no public phone (only a press line), so the phone field is empty; the statewide line
#   1-866-500-0017 is on michigan.gov/leo/bureaus-agencies/uia/contact if a steward wants to add it as phone2.
#   UIA calls it the "Sterling Heights" office, but the address it prints is in Clinton Township.
MDHHS Madison Heights office | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. | 30755 Montpelier | Madison Heights | 48071 | 248-975-4800 | https://www.michigan.gov/mdhhs | Call first | | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=185 | phone_label=Oakland County information line
MDHHS Southfield office | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. | 25620 W. 8 Mile Rd. | Southfield | 48033 | 248-975-4800 | https://www.michigan.gov/mdhhs | Call first | | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=184 | phone_label=Oakland County information line
MDHHS Pontiac-Woodward office | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. The office is on the 5th floor. | 51111 Woodward Ave 5th Floor | Pontiac | 48342 | 248-975-4800 | https://www.michigan.gov/mdhhs | Call first | | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=183 | phone_label=Oakland County information line
MDHHS Mt. Clemens District office | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. | 44777 North Gratiot Ste. A | Clinton Township | 48036 | 586-469-7700 | https://www.michigan.gov/mdhhs | Call first | | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=166 | phone_label=Information line
MDHHS Sterling Heights office | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. | 41227 Mound Road Ste. A | Sterling Heights | 48314 | (586) 254-1500 | https://www.michigan.gov/mdhhs | Call first | | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=168 | phone_label=Information line
MDHHS Warren office | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. | 13041 E 10 Mile Road | Warren | 48089 | 586-427-0600 | https://www.michigan.gov/mdhhs | Call first | | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=167 | phone_label=Information line
MDHHS Inkster office | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. | 26355 Michigan Avenue | Inkster | 48141 | 313-792-7700 | https://www.michigan.gov/mdhhs | Call first | Serves ZIP codes 48111, 48112, 48125, 48127, 48141, 48150, 48151, 48152, 48154, 48174, 48187 and 48188. | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=215 | phone_label=Information line
MDHHS Taylor office | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. | 25637 Ecorse Rd | Taylor | 48180 | 313-375-2500 | https://www.michigan.gov/mdhhs | Call first | Serves ZIP codes 48134, 48138, 48146, 48164, 48167, 48168, 48170, 48173, 48180, 48183, 48184, 48185, 48186, 48193, 48195 and 48242. | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=221 | phone_label=Information line
MDHHS Greydale/Grand River office, Redford | Michigan Department of Health and Human Services | money.benefits | Apply for food help, cash help, Medicaid or State Emergency Relief, or ask about your case. | 27260 Plymouth Rd. | Redford Township | 48239 | 734-762-3900 | https://www.michigan.gov/mdhhs | Call first | Serves ZIP codes 48219, 48235, 48239 and 48240. | https://mdhhs.michigan.gov/CompositeDirPub/VignetteView.aspx?id=213 | phone_label=Information line
# note: Summer/Fall 2026 season only; set valid_to 2026-10-16 after import. Jan-Apr 2027 must be re-researched.
Free tax help, Ferndale | Accounting Aid Society | money.tax | Free help with past-year or corrected tax returns and IRS or state tax letters. Appointments preferred; walk-ins only if there is room. | 22540 Woodward | Ferndale | 48220 | 313-556-1920 | https://accountingaidsociety.org/ | Tue-Fri 9am-3pm | Households making less than $69,000 a year. | https://www.accountingaidresources.org/taxsitelocations | phone_label=Appointments; notice=Open through Oct 16, 2026.
Free Medicare help (MI Options), AgeWays | AgeWays (Area Agency on Aging 1-B) | money.benefits | Free, one-on-one help with Medicare: compare health and drug plans, Medigap, sign-up, claims and appeals, help paying for medicines, and spotting Medicare fraud. In person, by phone or by Zoom. | 31700 Middlebelt Rd Suite 140 | Farmington Hills | 48334 | (800) 852-7795 | https://www.ageways.org/ | Call first | People with Medicare and their families. | https://www.ageways.org/medicare-medicaid-support/ | flags=seniors,appointment_required; phone_label=AgeWays main line; phone2=800-803-7174; phone2_label=MI Options Medicare help line (statewide)
Help signing up for benefits, Jewish Family Service | Jewish Family Service of Metro Detroit | money.benefits | Staff walk you through applying for food assistance, Medicaid, State Emergency Relief and other MDHHS programs, WIC, and help with heat (THAW) and water (WRAP) bills. Call to ask which office to visit. | 6555 West Maple Road | West Bloomfield Township | 48322 | 248-592-2313 | https://www.jfsdetroit.org/ | Call first | Anyone, of any religion. Some programs have rules; call to ask. | https://www.jfsdetroit.org/how-we-help/basic-needs/ | phone_label=Resource Center
Help signing up for Medicaid and food help, Honor Community Health Pontiac | Honor Community Health | money.benefits | Community health workers help you sign up for or renew Medicaid, the Healthy Michigan Plan, Medicare, Marketplace health plans and Food Stamps. Call to book a time. | 1701 Baldwin Avenue, Suite 102 | Pontiac | 48340 | (248) 724-7600 | https://honorcommunityhealth.org/ | Call first | Anyone, with or without insurance. | https://honorcommunityhealth.org/locations/baldwin-family-medicine-center/ | flags=appointment_required,medicaid
Help signing up for Medicaid and food help, Honor Community Health Southfield | Honor Community Health | money.benefits | Community health workers help you sign up for or renew Medicaid, the Healthy Michigan Plan, Medicare, Marketplace health plans and Food Stamps. This center is open Fridays only. Call to book a time. | 22200 West Nine Mile Road | Southfield | 48033 | (248) 724-7600 | https://honorcommunityhealth.org/ | Call first | Anyone, with or without insurance. | https://honorcommunityhealth.org/locations/plum-hollow-center/ | flags=appointment_required,medicaid
# note: ACC's site shows injected spam words in its menu; see header.
Benefits help for refugees, ACC Troy | Americas Community Council | money.benefits | Help for refugees who are new to Michigan with cash, medical and food benefits. Staff speak three languages. | 363 W. Big Beaver Road, Suite 235 | Troy | 48084 | (248) 588-1994 | https://myacc.org/ | Call first | Refugees resettling in Michigan. | https://myacc.org/directory/ | flags=immigrants
# note: no public phone on the source page; see header.
Unemployment office, Sterling Heights (in-person help) | Michigan Unemployment Insurance Agency | money.benefits | In-person help with an unemployment claim, and self-service kiosks. Appointments come first; walk-ins until 4:20pm as space allows. Bring photo ID. | 43015 Hayes Rd. | Clinton Township | 48038 | | https://www.michigan.gov/leo/bureaus-agencies/uia | Mon-Fri 8am-5pm | Anyone with a Michigan unemployment claim. | https://www.michigan.gov/leo/news/2026/09/14/new-walk-in-option-available-at-all-unemployment-offices | flags=walk_in

# ======== legal ========
# --- legal ---
# note: Lakeshore Legal Aid's about-us page lists 7 litigation offices. In the 71 places: Oakland Litigation (Pontiac; the
#   Family Law Assistance Project shares its address and phone, so it is not a separate row), Macomb Litigation
#   (mailing city "Mt. Clemens") and Taylor. The Warren office is "Admin Only" and is left out on purpose.
Oakland County office | Lakeshore Legal Aid | legal | Free legal help with civil (not criminal) problems. Walk in Monday to Thursday. Fridays by appointment. | 35 W. Huron, Suite 701 | Pontiac | 48342 | (248) 530-9330 | https://lakeshorelegalaid.org/ | Mon-Thu 8:30am-4:30pm | New clients: call the hotline first, 888-783-8190. | https://lakeshorelegalaid.org/about-us/ | flags=walk_in; phone_label=Oakland office; phone2=888-783-8190; phone2_label=New clients (Counsel and Advocacy Law Line)
Macomb County office | Lakeshore Legal Aid | legal | Free legal help with civil (not criminal) problems. Walk in Monday to Thursday. Fridays by appointment. | 32 Market Street, Suite 2 | Mount Clemens | 48043 | (586) 469-5185 | https://lakeshorelegalaid.org/ | Mon-Thu 8:30am-4:30pm | New clients: call the hotline first, 888-783-8190. | https://lakeshorelegalaid.org/about-us/ | flags=walk_in; phone_label=Macomb office; phone2=888-783-8190; phone2_label=New clients (Counsel and Advocacy Law Line)
Taylor office | Lakeshore Legal Aid | legal | Free legal help with civil (not criminal) problems. Walk in Monday to Thursday. Fridays by appointment. | 20600 Eureka Road, Suite 515 | Taylor | 48180 | (734) 561-4091 | https://lakeshorelegalaid.org/ | Mon-Thu 8:30am-4:30pm | New clients: call the hotline first, 888-783-8190. | https://lakeshorelegalaid.org/about-us/ | flags=walk_in; phone_label=Taylor office; phone2=888-783-8190; phone2_label=New clients (Counsel and Advocacy Law Line)
# note: "Free" and "civil" are from https://lakeshorelegalaid.org/find-legal-help/ ("Find Free Legal Help", "civil legal
#   services", "call our hotline" for new clients). The pages read today do not state who qualifies, so no row says.
# note: Michigan Legal Help self-help centers. The pages print no phone for Oakland County, Macomb County, Novi and the
#   42-2 District Court, so those rows carry the street address only. The Macomb District Court page prints one number,
#   586-752-9679, without saying which of its two courts it belongs to, so it is not used.
Oakland County Legal Self-Help Center | Michigan Legal Help | legal | Free help finding court forms and steps for simple legal problems. Use the computers, or talk to a helper on Zoom. Staff can't give legal advice. | 1200 N. Telegraph Rd | Pontiac | | | https://michiganlegalhelp.org/ | Mon-Fri 8am-4:30pm | | https://michiganlegalhelp.org/self-help-centers/oakland-county-legal-self-help-center | flags=walk_in
Macomb County Legal Self-Help Center | Michigan Legal Help | legal | Free help finding court forms and steps for simple legal problems, with court staff to help you. Staff can't give legal advice. It is in the circuit court, 3rd floor, room 360. | 40 N. Main St. | Mount Clemens | 48043 | | https://michiganlegalhelp.org/ | Mon-Fri 8am-4pm | | https://michiganlegalhelp.org/self-help-centers/macomb-county-legal-self-help-center | flags=walk_in
Legal Self-Help Center at the Oak Park library | Michigan Legal Help | legal | Free help finding court forms and steps for simple legal problems, with library staff to help you. Staff can't give legal advice. | 14200 Oak Park Blvd | Oak Park | 48237 | 248-691-7480 | https://michiganlegalhelp.org/ | Mon-Thu 10am-8pm; Fri 10am-5pm; Sun 1pm-5pm | | https://michiganlegalhelp.org/self-help-centers/legal-self-help-center-of-oak-park | flags=walk_in; phone_label=Oak Park Public Library
Novi District Court Self-Help Center | Michigan Legal Help | legal | Free help finding court forms and steps for simple legal problems, at the 52nd District Court. Staff can't give legal advice. | 48150 Grand River Ave | Novi | 48374 | | https://michiganlegalhelp.org/ | Mon-Fri 8:30am-4:30pm | | https://michiganlegalhelp.org/self-help-centers/novi-district-court-self-help-center | flags=walk_in
New Baltimore District Court Self-Help Center | Michigan Legal Help | legal | Free help finding court forms and steps for simple legal problems, at the 42-2 District Court. Staff can't give legal advice. | 35071 23 Mile Rd | New Baltimore | 48047 | | https://michiganlegalhelp.org/ | Mon-Fri 8am-noon, 1pm-4:30pm | | https://michiganlegalhelp.org/self-help-centers/macomb-district-court-self-help-center | flags=walk_in
# note: Neighborhood Legal Services Michigan's Elder Law & Advocacy Center is at 12121 Hemingway, Redford, MI 48239, per
#   https://nlsmichigan.org/contact-us/ (same page as the existing phone-only row). Redford is now in the area, but the
#   row already exists with the same org and the same phone (sal_neighborhood_legal_elder_law_and_advocacy_center), so it
#   is NOT added here: a steward should add address 12121 Hemingway, city Redford Township, ZIP 48239 to that row.
# --- legal.immigration ---
# note: CCF's pages do not say its services are free, so no row says "free". Lobby hours are from the contact block
#   printed on every CCF page.
Immigration help, Sterling Heights | Chaldean Community Foundation | legal.immigration | Help applying for a green card (to live here for good) and to become a U.S. citizen. They also teach citizenship classes. Walk in. | 3601 15 Mile Rd | Sterling Heights | 48310 | (586) 722-7253 | https://www.chaldeanfoundation.org/ | Mon-Tue 8:30am-4pm; Wed 8:30am-11:30am; Thu 8:30am-4pm; Fri 8am-3pm | | https://www.chaldeanfoundation.org/new-american-acculturation/ | flags=walk_in,immigrants
# --- rows for other categories found on the same pages (lead merges/dedupes) ---
Job help, Chaldean Community Foundation | Chaldean Community Foundation | jobs.find | Help with a resume, looking for a job, training and getting hired. Walk in. | 3601 15 Mile Rd | Sterling Heights | 48310 | (586) 722-7253 | https://www.chaldeanfoundation.org/ | Mon-Tue 8:30am-4pm; Wed 8:30am-11:30am; Thu 8:30am-4pm; Fri 8am-3pm | | https://www.chaldeanfoundation.org/new-american-acculturation/ | flags=walk_in,immigrants
# note: CCF class times run September to December 2026 (ESL and GED began Sept. 11). The class page gives days and
#   times per level, which do not fit one weekly schedule, so both rows stay call-first.
English classes, Chaldean Community Foundation | Chaldean Community Foundation | learn.english | English classes for adults at three levels, in the morning, afternoon or evening. Classes run September to December. | 3601 15 Mile Rd | Sterling Heights | 48310 | (586) 722-7253 | https://www.chaldeanfoundation.org/ | Beginner: Mon, Tue, Wed 1pm-3pm. Other levels two days a week, 9am-11:30am or 5pm-7:30pm. Call first. | | https://www.chaldeanfoundation.org/upcoming-classes/ | flags=immigrants
GED classes, Chaldean Community Foundation | Chaldean Community Foundation | learn.school | Classes to get your GED (a high school equivalency). Classes run September to December. | 3601 15 Mile Rd | Sterling Heights | 48310 | (586) 722-7253 | https://www.chaldeanfoundation.org/ | Mon-Thu 9:30am-11:30am during the fall term. Call first. | | https://www.chaldeanfoundation.org/upcoming-classes/ |
# note: La Casa Amiga (Catholic Charities of Southeast Michigan) in Pontiac: one page lists its legal clinic, benefits help,
#   tax help, job help and classes. The page also prints 734-822-6337 beside a staff member's name for immigration help;
#   it is left out (a person's line), and the rows use the program's main number with ext. 3700.
#   The page does not say the legal clinic is free, so the row does not.
Immigration legal clinic, La Casa Amiga | Catholic Charities of Southeast Michigan | legal.immigration | Help with work permits, immigration papers and immigration questions, in English and Spanish. They can't help with deportation or immigration court cases; they will send you to someone who can. | 76 Williams St. | Pontiac | 48341 | (248) 338-4250 ext. 3700 | https://www.ccsem.org/ | Mon-Fri 8:30am-5pm | All nationalities and languages are welcome. | https://www.ccsem.org/la-casa-amiga | flags=immigrants,spanish
Help applying for food and Medicaid, La Casa Amiga | Catholic Charities of Southeast Michigan | money.benefits | Help applying for food assistance (SNAP) and Medicaid, and help if you were turned down. Call for an appointment. In English and Spanish. | 76 Williams St. | Pontiac | 48341 | (248) 338-4250 ext. 3700 | https://www.ccsem.org/ | Mon-Fri 8:30am-5pm | People who live in Oakland, Macomb or Wayne County. | https://www.ccsem.org/la-casa-amiga | flags=appointment_required,spanish
Tax help in tax season, La Casa Amiga | Catholic Charities of Southeast Michigan | money.tax | In tax season, their VITA clinic helps people with lower incomes get their taxes done. Call to ask about dates. | 76 Williams St. | Pontiac | 48341 | (248) 338-4250 ext. 3700 | https://www.ccsem.org/ | Call first | People whose income is low enough for the VITA program. | https://www.ccsem.org/la-casa-amiga | flags=spanish
Job help, La Casa Amiga | Catholic Charities of Southeast Michigan | jobs.find | Help writing a resume, filling out job applications and getting ready for an interview. | 76 Williams St. | Pontiac | 48341 | (248) 338-4250 ext. 3700 | https://www.ccsem.org/ | Mon-Fri 8:30am-5pm | | https://www.ccsem.org/la-casa-amiga | flags=spanish
English classes, La Casa Amiga | Catholic Charities of Southeast Michigan | learn.english | English classes (ESL). Call to find out what classes are running now. Some classes have free child care. | 76 Williams St. | Pontiac | 48341 | (248) 338-4250 ext. 3700 | https://www.ccsem.org/ | Call first | | https://www.ccsem.org/la-casa-amiga | flags=spanish,immigrants
GED classes, La Casa Amiga | Catholic Charities of Southeast Michigan | learn.school | GED classes. Call to find out what classes are running now. Some classes have free child care. | 76 Williams St. | Pontiac | 48341 | (248) 338-4250 ext. 3700 | https://www.ccsem.org/ | Call first | | https://www.ccsem.org/la-casa-amiga | flags=spanish

# ======== ids ========
# --- ids: Secretary of State offices ---
# note: michigan.gov prints a branch's street address only inside its scheduling app (a script). The one static
#   michigan.gov page that names each branch is a Department of State news release (a closure or move notice), and
#   each release also prints the statewide number 888-767-6424 (local branch numbers were replaced by it — FAQ page
#   https://www.michigan.gov/sos/faqs/resources/secretary-of-state-offices). Each row cites the newest release naming
