# Kids, goods and community help in the 71 new places (area widened 2026-09-24, DECISIONS).
# Categories: kids.care, kids.prek, youth, youth.advocacy, rec.center, connect, transport, pets, goods.clothes, goods.baby,
#   goods.home, goods.personal, assault. rec.library comes from the federal-library batch.
# Method: each fact read on the organization's own site (or its city/county's official page) with the pipeline's own
#   honest user agent or WebFetch on 2026-09-24; web search used only to find sites. Every line was run through the
#   importer's parser and the check:sources matcher by the researcher; # BROWSER lines are sites that refuse scripts.
# Combined by the lead from six researched parts. Per-line steward notes stay directly above their lines.

# ---- part: part-connect-transport-pets.txt ----
# NOTE: Hours printed twice on the page: the new hours (from July 13, 2026) close Sundays and Mondays; an older paragraph lower down still says "open Monday". We use the new hours. Free rabies shot is with the purchase of a dog license, Fridays 9am-noon.
Oakland County Animal Shelter | Oakland County Animal Shelter and Pet Adoption Center | pets | The county animal shelter: look for a lost pet, adopt a dog or cat, and buy a dog license. Free rabies shot for your dog when you buy its license, Fridays 9am to noon. Ask about help with end-of-life care for a pet. | 1200 North Telegraph Road, Building 42E | Pontiac | 48341 | 248-858-1070 | https://www.oakgov.com/community/pet-adoption | Tue 10am-7pm; Wed 10am-5pm; Thu 10am-7pm; Fri 10am-5pm; Sat 10am-4pm | | https://www.oakgov.com/community/pet-adoption | phone_label=Pet Adoption Center; phone2=248-858-1090; phone2_label=Animal Control
Diapers, formula and baby food, Baldwin Center | Baldwin Center | goods.baby | Diapers, formula, baby food and a newborn starter kit, once a month, while supplies last. Ask for the Kitchen Manager. | 212 Baldwin Ave. | Pontiac | 48342 | 248-332-6101 | https://baldwincenter.org | Mon, Wed, Fri 11am-1pm | Once a month. | https://baldwincenter.org/services/ | notice=Baldwin Avenue is under construction. Come by northbound Cesar Chavez to Baldwin Avenue.
Hygiene products, Baldwin Center | Baldwin Center | goods.personal | Hygiene products when they have them. Ask the staff during lunch hours. Shower kits come with soap, shampoo, a towel, toothpaste and a toothbrush. | 212 Baldwin Ave. | Pontiac | 48342 | 248-332-6101 | https://baldwincenter.org | Call first. Ask staff during lunch hours. | | https://baldwincenter.org/services/ | notice=Baldwin Avenue is under construction. Come by northbound Cesar Chavez to Baldwin Avenue.
# NOTE: Matchan's page prints the ZIP two ways for the same address: "Pontiac, MI 48341" in the FAQ and "Pontiac, Michigan 48321" in the footer. 48341 is used here; a person should confirm.
Free clothing, Matchan Nutrition Center | Matchan Nutrition Center | goods.clothes | Free donated clothing, given out while the hot-meal center is open. It is inside All Saints' Episcopal Church. | 171 W Pike St. | Pontiac | 48341 | (248) 334-7750 | https://www.matchannutritioncenter.org | Tue, Thu 10:30am-12:30pm | Anyone in need. | https://www.matchannutritioncenter.org/get-help | flags=walk_in
Free hygiene products, Matchan Nutrition Center | Matchan Nutrition Center | goods.personal | Free hygiene products, given out while the hot-meal center is open. It is inside All Saints' Episcopal Church. | 171 W Pike St. | Pontiac | 48341 | (248) 334-7750 | https://www.matchannutritioncenter.org | Tue, Thu 10:30am-12:30pm | Anyone in need. | https://www.matchannutritioncenter.org/get-help | flags=walk_in
# NOTE: Neighborhood House's clothes closet is free for Neighborhood House clients and open to anyone else to buy at low prices. The page does not say who can become a client; the main office line is the second phone.
Clothes closet, Neighborhood House Rochester | Rochester Area Neighborhood House | goods.clothes | Clothes for men, women, babies and children. Free for Neighborhood House clients. Anyone else can shop here at low prices. | 44 Mill Street | Rochester | 48307 | 248-656-0230 | https://www.ranh.org | Mon-Thu 10am-4pm; Sat 10am-2pm | Free if you are a Neighborhood House client. Call the main office to ask about becoming a client. | https://www.ranh.org/clothes-closet | phone_label=Clothes Closet; phone2=248-651-5836; phone2_label=Main office
Household items, Neighborhood House Rochester | Rochester Area Neighborhood House | goods.home | Household items from the clothes closet. Free for Neighborhood House clients. Anyone else can shop here at low prices. | 44 Mill Street | Rochester | 48307 | 248-656-0230 | https://www.ranh.org | Mon-Thu 10am-4pm; Sat 10am-2pm | Free if you are a Neighborhood House client. Call the main office to ask about becoming a client. | https://www.ranh.org/clothes-closet | phone_label=Clothes Closet; phone2=248-651-5836; phone2_label=Main office
# NOTE: the Furniture Bank's usual furniture comes by referral from a partner agency and costs $125-$200 a package (https://www.furniture-bank.org/need-furniture/). Only the "Free Community Area" is free and needs no referral. The hours are the office and warehouse hours on the contact page (https://www.furniture-bank.org/contact/); the services page does not give separate hours for the free area.
Free furniture area, Furniture Bank of Metro Detroit | Furniture Bank of Metro Detroit | goods.home | Free furniture for anyone in need, first come, first served. These are older or large pieces that still work. Other furniture needs a referral from a partner agency and costs $125 to $200. | 339 E. Whitcomb Ave. | Madison Heights | 48071 | (248) 332-1300 | https://www.furniture-bank.org | Mon-Fri 8:30am-4:30pm | Anyone in need, for the free area. | https://www.furniture-bank.org/services/
Kids clothing closet, Trinity Utica | Trinity Lutheran Church | goods.clothes | Free clothes for children in Macomb County. The closet is in the building at the north end of the parking lot, next to the big playground. | 45160 Van Dyke | Utica | 48317 | 586-731-4490 | https://www.trinityutica.com | Tue 10am-2pm | Children in Macomb County. Other times by appointment. | https://www.trinityutica.com/outreach/ | phone_label=Church office, ask for ext. 235
# NOTE: Gianna House gives baby items in exchange for "baby bucks" that moms earn by going to its classes; the page does not call the items free and gives no class times.
Baby shop for moms in classes, Gianna House | Gianna House | goods.baby | Moms of babies and young children take classes on parenting and life skills. They earn "baby bucks" to trade for diapers, wipes, baby clothes and other baby things in the baby shop. | 21357 Redmond Ave. | Eastpointe | 48021 | (586)445-0440 | https://giannahouse.org | Call first | For moms of babies and young children, and moms who are pregnant. | https://giannahouse.org/community-outreach-center/ | flags=pregnant
Clothing boutique, Redford Interfaith Relief | Redford Interfaith Relief | goods.clothes | Clothes for adults, children and babies. You can shop once a month when you come for your food pantry appointment. | 18499 Beech Daly Road | Redford Township | 48240 | (313) 387-9802 | https://redfordinterfaithrelief.org | By appointment. Office open Wed-Fri 9am-3pm. | For Redford Township residents. You need an appointment first. | http://www.redfordinterfaithrelief.org/client-services.html | phone_label=Option 1 for client services; flags=residents_only,appointment
# NOTE: this is the Macomb County Prosecutor's crime victim rights office, not a crisis center: it helps people whose case is being prosecuted. Its page says its advocates serve victims of sexual assault with emotional support, crisis intervention and going to court with them, and it names Turning Point's nurse examiner program (586-463-6990, already listed as a DV row without an address) for sexual assault care. Staff names and emails on the page are not used.
Victim advocates, Macomb County Prosecutor's Office | Macomb County Prosecutor's Office | assault | Victim advocates help people through a criminal case, including after sexual assault. They explain each court step, give support, and can go to court with you. | 1 South Main, 3rd Floor | Mount Clemens | 48043 | 586-469-5675 | https://www.macombgov.org/departments/prosecutors-office | Call first | For crime victims in cases the Macomb County Prosecutor handles. | https://www.macombgov.org/departments/prosecutors-office/units/crime-victim-rights-unit | phone2=586-250-4090; phone2_label=Text "victim advocate" to reach an advocate

# ---- part: part-prek-oak-mac.txt ----
# NOTE: OLHSA's locations page prints three ZIPs for 196 Cesar E. Chavez (48340 for Head Start and GSRP, 48342 for Early Head Start, 48343 for WIC). ZIP left empty; one call settles it.
Head Start, Early Head Start and free pre-K, OLHSA Pontiac | Oakland Livingston Human Service Agency (OLHSA) | kids.prek | Free Head Start preschool for kids 3 and 4, Early Head Start for babies and toddlers (in a classroom or with home visits), and free pre-K (GSRP), if your income qualifies. | 196 Cesar E. Chavez | Pontiac |  | 248-935-1796 | https://www.olhsa.org | not stated | For families who live in Oakland County. Head Start: children 3 and 4. Early Head Start: children under 3. Families with income at or below the federal poverty line come first. | https://www.olhsa.org/early-childhood-program-locations | phone_label=Pontiac Head Start and Early Head Start
Head Start at Webster Community Center, Pontiac | Oakland Livingston Human Service Agency (OLHSA) | kids.prek | Free Head Start preschool for kids 3 and 4, if your income qualifies. Meals and snacks included. | 640 W. Huron St. | Pontiac | 48341 | 248-935-1796 | https://www.olhsa.org | not stated | For families who live in Oakland County. Children 3 and 4 (3 by September 1). Families with income at or below the federal poverty line come first. | https://www.olhsa.org/early-childhood-program-locations | phone_label=Pontiac Head Start
Head Start and Early Head Start at Webster ECC, Hazel Park | Oakland Livingston Human Service Agency (OLHSA) | kids.prek | Free Head Start preschool for kids 3 and 4, and Early Head Start for babies and toddlers, if your income qualifies. Run by OLHSA inside Hazel Park's Webster Early Childhood Center. | 431 W. Jarvis | Hazel Park | 48030 | 248-470-8019 | https://www.olhsa.org | not stated | For families who live in Oakland County. Children up to age 4. Families with income at or below the federal poverty line come first. | https://www.olhsa.org/early-childhood-program-locations | phone_label=OLHSA Head Start and Early Head Start
# NOTE: OLHSA prints "Lake Orion, MI 48360"; 1796 S Lapeer Road is in Orion Township (the village of Lake Orion lies inside the township).
Head Start and Early Head Start at Heartfelt Impressions, Orion Township | Oakland Livingston Human Service Agency (OLHSA) | kids.prek | Free Head Start preschool for kids 3 and 4, and Early Head Start for babies and toddlers, if your income qualifies. At the Heartfelt Impressions Center. | 1796 S Lapeer Road | Orion Township | 48360 | 248-470-8019 | https://www.olhsa.org | not stated | For families who live in Oakland County. Children up to age 4. Families with income at or below the federal poverty line come first. | https://www.olhsa.org/early-childhood-program-locations | phone_label=OLHSA Head Start and Early Head Start
Free pre-K at Webster Early Childhood Center, Hazel Park | Hazel Park Schools | kids.prek | Free pre-K (GSRP) for 4-year-olds at Hazel Park Schools' Webster Early Childhood Center. Free to families who qualify. | 431 West Jarvis Ave. | Hazel Park | 48030 | (248) 658-5550 | https://www.hazelparkschools.org | not stated | Children who are 4. Free to families who qualify. | https://www.hazelparkschools.org/schools/programs/webster-early-childhood-center/ | phone_label=Webster Early Childhood Center
Free pre-K at Lessenger Early Childhood Center, Oak Park | Oak Park School District | kids.prek | Free full-day pre-K (GSRP) for 4-year-olds, Monday to Thursday. | 12901 Albany | Oak Park | 48237 | (248) 336-7690 | https://www.oakparkschools.org | not stated | Children who are 4 by September 1. For families with low income, or with other needs such as a single parent, a teen parent, a parent out of work, or a child with delays. | https://www.oakparkschools.org/schools/lessenger-early-childhood-center/great-start-readiness-program/ | phone_label=Lessenger Early Childhood Center
Free pre-K at Madison Early Childhood Center | Madison District Public Schools | kids.prek | Free pre-K (GSRP) for 4-year-olds. To sign up, call or text 844-456-5437 or use the online form. | 25601 Couzens | Madison Heights | 48071 | 248-543-5465 | https://www.madisondistrict.org | not stated | Children who are 4. The sign-up line tells you if your child qualifies. | https://www.madisondistrict.org/schools/madison-early-childhood-center/ | phone_label=Madison Early Childhood Center; phone2=844-456-5437; phone2_label=Pre-K sign-up help (call or text)
# BROWSER: Free pre-K, Lamphere Learning Ladder — site refuses scripts (Apptegy client challenge); read in a browser 2026-09-24.
Free pre-K, Lamphere Learning Ladder | Lamphere Schools | kids.prek | Free pre-K for all 4-year-olds (GSRP). Classes are at the Lamphere Early Childhood Center and at each Lamphere elementary school. Before- and after-school care too. | 31201 Dorchester | Madison Heights | 48071 | (248) 589-3753 | https://www.lamphereschools.org | not stated | Children who are 4 by December 1. No income limit; families with the most need come first. Sign up through MiECC, or call or text 1-844-456-5437 for help. | https://learning-ladder.lamphereschools.org/o/llles/page/registration-information | phone_label=Lamphere Learning Ladder; phone2=1-844-456-5437; phone2_label=Pre-K sign-up help (call or text)
Free pre-K at Royal Oak Schools Early Childhood Center | Royal Oak Schools | kids.prek | Free pre-K (GSRP) for 4-year-olds at the Royal Oak Schools Early Childhood Center. | 707 Girard Ave. | Royal Oak | 48073 | (248) 288-3220 | https://www.royaloakschools.org | not stated | Children who are 4. Call to ask if your child qualifies. | https://www.royaloakschools.org/schools/early_childhood | phone_label=Early Childhood Center
Free pre-K at Clawson Early Childhood Center | Clawson Public Schools | kids.prek | Free pre-K (GSRP) for 4-year-olds, 8:30am to 3:30pm on school days. | 313 Redruth Ave | Clawson | 48017 | (248) 655-3838 | https://www.clawsonschools.org | Office: Mon-Thu 8:30am-3:30pm (closed 11:45am-12:20pm for lunch), Friday mornings | Children who are 4. Call to ask if your child qualifies. | https://www.clawsonschools.org/clawson-preschool/ | phone_label=Clawson Early Childhood Center; phone2=(248) 655-3836; phone2_label=Preschool and GSRP office
# NOTE: tsdpreschool.troy.k12.mi.us prints 205 West Square Lake Road and (248) 823-3000 as the preschool's contact info, beside the preschool's building schedule and attendance line; Troy's district office is elsewhere.
Free preschool for 3- and 4-year-olds, Troy School District | Troy School District | kids.prek | Free preschool for 4-year-olds (GSRP) and free preschool for 3-year-olds (Strong Beginnings), if your income qualifies. | 205 West Square Lake Road | Troy | 48098 | (248) 823-3000 | https://www.troy.k12.mi.us | not stated | Families with low to moderate income. Children who are 3 or 4. | https://tsdpreschool.troy.k12.mi.us | phone_label=Troy School District Preschool
Free pre-K at Stepanski Early Childhood Center, Waterford | Waterford School District | kids.prek | Free pre-K for all 4-year-olds (GSRP, Pre-K for All). The district says it also has Head Start; ask when you call. | 6010 Hatchery Rd. | Waterford Township | 48329 | 248.666.9593 | https://www.waterford.k12.mi.us | not stated | Children who are 4 by December 1, 2026. All families can join. Sign-up stays open until December 2026. | https://www.waterford.k12.mi.us/schools/specialized/stepanski-ecc/ | phone_label=Stepanski Early Childhood Center
Free pre-K at Walled Lake Early Childhood Center | Walled Lake Consolidated Schools | kids.prek | Free pre-K for 4-year-olds (Pre-K for All, GSRP), full or half days, Monday to Friday. Parents drive their child. Walled Lake preschool classes are here and at Dublin and Wixom elementary schools. | 40839 Thirteen Mile Road | Novi | 48377 | (248) 956-5080 | https://www.wlcsd.org | not stated | Children who are 4 by December 1. There are still income rules: bring proof of income, Medicaid or SNAP. | https://ecc.wlcsd.org | phone_label=Walled Lake Early Childhood Center
Free pre-K, Avondale Early Learning Center | Avondale School District | kids.prek | Free pre-K (GSRP) for 4-year-olds whose family income qualifies. The State raised the income limit, so more families qualify. | 2900 Waukegan St. | Auburn Hills | 48326 | 248.537.6503 | https://www.avondaleschools.org | not stated | Children who are 4 by December 1. Families must meet income rules. | https://www.avondaleschools.org/schools/avondale-early-learning-center/ | phone_label=Pre-K enrollment; phone2=248.537.6500; phone2_label=Auburn Elementary office
# NOTE: The page prints "Lake Orion, MI 48360"; 1155 Joslyn Road is in Orion Township.
Free pre-K, Lake Orion Early Childhood Center | Lake Orion Community Schools | kids.prek | Free pre-K for 4-year-olds (Pre-K for All, GSRP). Families most in need are enrolled first. Text PRESCHOOL to 844-456-5437 to start. | 1155 Joslyn Road | Orion Township | 48360 | 248-693-5439 | https://www.lakeorion.k12.mi.us | not stated | Children who are 4 and live in the Lake Orion school district. Any income can apply. | https://www.lakeorion.k12.mi.us/early-childhood-program-and-education/academics/gsrp | phone_label=Early Childhood Program and Education; phone2=844-456-5437; phone2_label=Pre-K sign-up (text PRESCHOOL)
# NOTE: Bussey's page also has a GSRP paragraph that names "Woodhaven-Brownstown School District" (clearly copied from another district's page) and says Southfield's GSRP rooms are in each elementary school. The line below claims only Early Head Start and Head Start at Bussey.
Early Head Start and Head Start at Bussey Center, Southfield | Southfield Public Schools | kids.prek | Early Head Start and Head Start for young children at Southfield Public Schools' Bussey Center for Early Childhood Education. Apply with proof of income. | 24501 Frederick Street | Southfield | 48033 | (248) 746-7350 | https://www.southfieldk12.org | not stated | Children from birth to age 5. Families send proof of income when they apply. | https://bussey.southfieldk12.org/enrolling-at-bussey | phone_label=Bussey Center
# BROWSER: Free pre-K at Ferndale Early Childhood Center — site refuses scripts (Apptegy client challenge); read in a browser 2026-09-24.
# NOTE: Ferndale's page also describes Head Start (with a 2016-2017 report link); OLHSA's current list has no Ferndale site, so the line claims GSRP only.
Free pre-K at Ferndale Early Childhood Center | Ferndale Public Schools | kids.prek | Free pre-K (GSRP) for 4-year-olds, with a hot meal and snack each day. | 2920 Burdette | Ferndale | 48220 | 248-586-8820 | https://www.ferndaleschools.org | not stated | For families who live in Oakland County. Child must be 4 by September 1. Families must meet income rules and have a risk factor. | https://www.ferndaleschools.org/o/ecc/page/gsrp-and-head-start | phone_label=Ferndale Early Childhood Center
Free pre-K at the Chaldean Community Foundation, Sterling Heights | Chaldean Community Foundation | kids.prek | Free pre-K (GSRP) for 4-year-olds at the Chaldean Community Foundation. | 3601 15 Mile Rd. | Sterling Heights | 48310 | (586) 722-7253 | https://www.chaldeanfoundation.org | not stated | Children who are 4. Call to ask if your child qualifies. | https://www.chaldeanfoundation.org/educational-programming/ | phone_label=Chaldean Community Foundation
Head Start and Early Head Start, Macomb County | Macomb Community Action | kids.prek | Free Early Head Start for pregnant women, babies and toddlers, and free Head Start preschool for kids 3 to 5. Classrooms are in schools, churches and homes across Macomb County. Early Head Start gives free diapers and meals. | 21885 Dunham Road, Suite 10 | Clinton Township | 48036 | 586-469-5215 | https://www.macombgov.org/departments/macomb-community-action | not stated | For Macomb County families with income at or below the federal poverty line. Pregnant women and children under 4 when they apply. Apply any time of year. | https://www.macombgov.org/departments/macomb-community-action/head-start-0-5-early-education | phone_label=Head Start; flags=pregnant
Free pre-K at Center Line Early Childhood Center | Center Line Public Schools | kids.prek | Free full-day pre-K (GSRP), Monday to Friday. | 11300 Engleman | Warren | 48089 | (586) 510-2800 | https://www.clps.org | not stated | Children who are 4 by September 1 (or by December 1 with a waiver). | https://ecc.clps.org/apps/pages/index.jsp?uREC_ID=667466&type=d&pREC_ID=1115324 | phone_label=CLPS Early Childhood Center
Free pre-K at Warren Woods Early Childhood | Warren Woods Public Schools | kids.prek | Free pre-K (GSRP) for 4-year-olds, full day or half day, Monday to Thursday. Free breakfast and lunch. | 12900 Frazho Rd | Warren | 48089 | (586) 439-4885 | https://www.warrenwoods.misd.net | not stated | All children in Michigan can join. Child must be 4 by September 1 (or December 1 with a waiver). | https://www.warrenwoods.misd.net/our-schools/early-childhood/free-preschool/ | phone_label=Early childhood coordinator; phone2=586-439-4882; phone2_label=Early Childhood building
# BROWSER: Free pre-K at Kennedy Early Childhood Center, Warren — site refuses scripts (Apptegy client challenge); read in a browser 2026-09-24.
Free pre-K at Kennedy Early Childhood Center, Warren | Van Dyke Public Schools | kids.prek | Free pre-K (GSRP, "Our World of Fours") for 4-year-olds. Full days, Monday to Thursday. | 11333 Kaltz | Warren | 48089 | 586-759-9406 | https://www.vdps.net | not stated | Children who are 4 by September 1. A short talk with staff checks if your child qualifies. | https://www.vdps.net/o/early-childhood-center/page/grate-start-redi-ness-pro-gram | phone_label=Kennedy Early Childhood Center
# BROWSER: Free pre-K at Schofield Early Childhood Center, Warren — site refuses scripts (Apptegy client challenge); read in a browser 2026-09-24.
Free pre-K at Schofield Early Childhood Center, Warren | Fitzgerald Public Schools | kids.prek | Free pre-K (GSRP) for 4-year-olds, Monday to Friday. Sign up online, then meet with GSRP staff. | 21555 Warner | Warren | 48091 | (586) 757-5150 | https://www.fitz.k12.mi.us | not stated | Children who are 4. | https://www.fitz.k12.mi.us/o/ecc/page/great-start-readiness-program-gsrp | phone_label=Schofield Early Childhood Center
Free pre-K at Eastpointe Early Learning Center | Eastpointe Community Schools | kids.prek | Free pre-K (GSRP) for 4-year-olds, with breakfast, lunch and a snack each day. No cost for families who qualify. | 23750 David | Eastpointe | 48021 | (586) 533-3900 | https://www.eastpointeschools.org | not stated | Children who turn 4 by December 1, 2026. For families who qualify. | https://www.eastpointeschools.org/eastpointe-early-learning-center/ | phone_label=Eastpointe Early Learning Center
Free pre-K at Koepsell Early Childhood Center, Eastpointe | South Lake Schools | kids.prek | Free pre-K (GSRP) for 4-year-olds at South Lake Schools' Koepsell Early Childhood Center. | 21760 Raven | Eastpointe | 48021 | (586) 435-1500 | https://www.solake.org | not stated | Children who are 4. Sign up online through PowerSchool. | https://koepsell.solake.org/apps/pages/index.jsp?uREC_ID=766749&type=d&pREC_ID=2649982 | phone_label=Koepsell Early Childhood Center
Free pre-K, Roseville Community Schools | Roseville Community Schools | kids.prek | Free full-day pre-K (GSRP), Monday to Friday, at Green, Kment and Fountain elementary schools. Bus rides for Roseville families. Call 586-445-5780 before you bring papers to Green Elementary. | 18975 Church Street | Roseville | 48066 | (586) 445-5500 | https://rosevillepride.org | not stated | Children who are 4 by December 1 and live in Macomb, Oakland or Wayne County. | https://rosevillepride.org/enroll/early-childhood/ | phone_label=Roseville Community Schools office
Free pre-K at Wheat Early Childhood Center, St. Clair Shores | Lakeview Public Schools | kids.prek | Free pre-K for 4-year-olds (Pre-K for All, GSRP) at Lakeview's Early Childhood Center. | 27575 Harper Avenue | St. Clair Shores | 48081 | (586) 445-4159 | https://www.lakeviewpublicschools.org | not stated | Children who are 4. Call to ask if your child qualifies. | https://wheat.lakeviewpublicschools.org/ | phone_label=Wheat Early Childhood Center
Child care for babies to age 5, Lake Shore Early Childhood Center | Lake Shore Public Schools | kids.care | Year-round child care and preschool for children 2 months to 5 years. They accept all child care subsidies (help paying from the State). | 23340 Elmira St. | St. Clair Shores |  | 586-285-8570 | https://www.lakeshoreschools.org | Mon-Fri 7am-6pm | Children 2 months to 5 years. You do not have to live in St. Clair Shores. There may be a wait list. | https://www.lakeshoreschools.org/for_parents/early_childcare_center | phone_label=Lake Shore Early Childhood Center
Free pre-K at L'Anse Creuse Early Childhood Center, Harrison Township | L'Anse Creuse Public Schools | kids.prek | Free preschool for 4-year-olds (GSRP) at the L'Anse Creuse Early Childhood Center inside Graham Elementary. Free Head Start for 3- and 4-year-olds from low-income families: call 586-469-5215. | 25555 Crocker Blvd. | Harrison Township |  | (586) 783-6323 | https://www.lc-ps.org | not stated | GSRP: children who are 4 by September 1 and meet the State's rules, such as income. | https://www.lc-ps.org/schools/district/early-childhood-center/ | phone_label=L'Anse Creuse Early Childhood Center
Free pre-K at Rainbow Early Childhood Center, Clinton Township | Clintondale Community Schools | kids.prek | Free pre-K (GSRP) for 4-year-olds. Pick up a sign-up packet at the center. | 33749 Wurfel | Clinton Township |  | (586) 791-3500 | https://www.clintondaleschools.net | not stated | Children who are 4 by December 1. Every child qualifies. | https://rainbow.clintondaleschools.net/enroll/great-start-readiness-program | phone_label=Rainbow Early Childhood Center
Free pre-K at Seminole Academy, Mount Clemens | Mount Clemens Community Schools | kids.prek | Free pre-K (GSRP) for 4-year-olds at Seminole Academy. | 1500 Mulberry ST | Mount Clemens | 48043 | 586-461-3985 | https://www.mtcps.org | not stated | Children who are 4 by December 1. Free for children who qualify. | https://www.mtcps.org/schools/gsrp/ | phone_label=GSRP office
Free pre-K sign-up, Utica Community Schools | Utica Community Schools | kids.prek | Free preschool for 4-year-olds (PreK for All, GSRP) in Utica Community Schools. Apply online first. | 38901 Dodge Park Road | Sterling Heights | 48313 | (586) 797-4660 | https://www.uticak12.org | Office hours 8am-4:30pm (days not given) | All 4-year-olds can join. Child must be 4 by September 1, 2026. | https://cec.uticak12.org/early-childhood/prek-for-all | phone_label=Free PreK for All office

# ---- part: part-prek-wayne.txt ----
# BROWSER: Head Start at Wayne Metro Dearborn Heights — site refuses scripts
# NOTE: waynemetro.org/headstart answers 403 to scripts; read 2026-09-24 in a browser. Each center's phone is a tel: link under its visible address. The page also carries hidden entries (Redford/MacGowan 18255 Kinloch, Ferry Elementary 748 Roslyn, Taylor-Hoover 27101 Beverly, two GSRP rows with Dearborn addresses) that are not shown to visitors: left out. The visible Taylor center (6451 Jackson St) prints no phone of its own: left out.
Head Start at Wayne Metro Dearborn Heights | Wayne Metro Community Action Agency | kids.prek | Head Start for children 3 to 5, and Early Head Start for babies and pregnant moms. Classes Monday to Friday, September to June. | 4671 Parker | Dearborn Heights |  | 313-998-0648 | https://www.waynemetro.org | not stated | Families with income at or below the poverty line, or who get TANF, SSI or SNAP; children who are homeless or in foster care. A few places for families above the line. | https://www.waynemetro.org/headstart/ | phone_label=This center; phone2=(313) 388-9799; phone2_label=Wayne Metro Connect Center; flags=pregnant
# BROWSER: Head Start at Wayne Metro Garden City — site refuses scripts
Head Start at Wayne Metro Garden City | Wayne Metro Community Action Agency | kids.prek | Head Start for children 3 to 5, and Early Head Start for babies and pregnant moms. Classes Monday to Friday, September to June. | 1751 Radcliff St | Garden City |  | 734-767-5591 | https://www.waynemetro.org | not stated | Families with income at or below the poverty line, or who get TANF, SSI or SNAP; children who are homeless or in foster care. A few places for families above the line. | https://www.waynemetro.org/headstart/ | phone_label=This center; phone2=(313) 388-9799; phone2_label=Wayne Metro Connect Center; flags=pregnant
# BROWSER: Head Start at Wayne Metro Harper Woods — site refuses scripts
Head Start at Wayne Metro Harper Woods | Wayne Metro Community Action Agency | kids.prek | Head Start for children 3 to 5, and Early Head Start for babies and pregnant moms. Classes Monday to Friday, September to June. | 19258 Kelly | Harper Woods |  | 313-479-4368 | https://www.waynemetro.org | not stated | Families with income at or below the poverty line, or who get TANF, SSI or SNAP; children who are homeless or in foster care. A few places for families above the line. | https://www.waynemetro.org/headstart/ | phone_label=This center; phone2=(313) 388-9799; phone2_label=Wayne Metro Connect Center; flags=pregnant
# BROWSER: Head Start at Wayne Metro Westland Jefferson Barnes — site refuses scripts
Head Start at Wayne Metro Westland Jefferson Barnes | Wayne Metro Community Action Agency | kids.prek | Head Start for children 3 to 5, and Early Head Start for babies and pregnant moms. Classes Monday to Friday, September to June. | 32150 Dorsey | Westland |  | 313-202-0296 | https://www.waynemetro.org | not stated | Families with income at or below the poverty line, or who get TANF, SSI or SNAP; children who are homeless or in foster care. A few places for families above the line. | https://www.waynemetro.org/headstart/ | phone_label=This center; phone2=(313) 388-9799; phone2_label=Wayne Metro Connect Center; flags=pregnant
# NOTE: Starfish: 'free (must be income eligible) ... ages 6 weeks to 4 years' is on https://www.starfishfamilyservices.org/programs/early-childhood-education/ ; the ages served per center are on the locations page. The Crestwood center's page address says "Redford, MI 48239" (Redford Township).
Head Start and preschool at Starfish Crestwood | Starfish Family Services | kids.prek | Free child care and preschool for babies to age 4 if your family's income qualifies. Help for pregnant moms too. | 12100 Beech Daly Rd. | Redford Township | 48239 | (313) 651-8125 | https://www.starfishfamilyservices.org | not stated | Families whose income qualifies. Babies from 6 weeks to 4 years. | https://www.starfishfamilyservices.org/about/locations/ | phone_label=This center; phone2=(888) 355-5433; phone2_label=Starfish main line; flags=pregnant
Head Start and preschool at Starfish Hiveley | Starfish Family Services | kids.prek | Free child care and preschool for babies to age 4 if your family's income qualifies. Help for pregnant moms too. | 30000 Hiveley | Inkster | 48141 | (734) 398-4758 | https://www.starfishfamilyservices.org | not stated | Families whose income qualifies. Babies from 6 weeks to 4 years. | https://www.starfishfamilyservices.org/about/locations/ | phone_label=This center; phone2=(888) 355-5433; phone2_label=Starfish main line; flags=pregnant
Head Start and preschool at Starfish Livonia | Starfish Family Services | kids.prek | Free child care and preschool for babies to age 4 if your family's income qualifies. Help for pregnant moms too. | 32765 Lyndon | Livonia | 48154 | (734) 237-5810 | https://www.starfishfamilyservices.org | not stated | Families whose income qualifies. Babies from 6 weeks to 4 years. | https://www.starfishfamilyservices.org/about/locations/ | phone_label=This center; phone2=(888) 355-5433; phone2_label=Starfish main line; flags=pregnant
Preschool at Starfish Thorne | Starfish Family Services | kids.prek | Free preschool for 4-year-olds if your family's income qualifies. | 25251 Annapolis | Dearborn Heights | 48125 | (313) 359-8560 | https://www.starfishfamilyservices.org | not stated | Families whose income qualifies. Children age 4. | https://www.starfishfamilyservices.org/about/locations/ | phone_label=This center; phone2=(888) 355-5433; phone2_label=Starfish main line
Preschool at Starfish Westwood | Starfish Family Services | kids.prek | Free preschool for 3- and 4-year-olds if your family's income qualifies. | 26429 Michigan Ave. | Inkster | 48141 | (313) 359-8271 | https://www.starfishfamilyservices.org | not stated | Families whose income qualifies. Children ages 3 and 4. | https://www.starfishfamilyservices.org/about/locations/ | phone_label=This center; phone2=(888) 355-5433; phone2_label=Starfish main line
# NOTE: Wayne RESA's new center (Burger Baylor campus). The class day (Mon-Fri 9am-4pm) is left out: class times, not office hours.
