sal_id,record_ref,name,address_1,zip,lat,lon,phone,website,hours_text,extra,source_id,source_last_edited,fetched_at
sal_cfm_1000_sainte_anne_st,Sainte Anne's Pantry|1000 Sainte Anne St,Sainte Anne's Pantry,1000 Sainte Anne St,48216,42.320540,-83.076540,313-496-1701,,"3rd Wednesdays of the month, from 10:00am-12:00pm",Type=Pantry; council_district=6; neighborhood_name=Hubbard Richard,city_food_map,2025-11-21,2026-09-26
sal_cfm_6333_medbury_st,Capuchin Soup Kitchen - Services Center Pantry|6333 Medbury St,Capuchin Soup Kitchen - Services Center Pantry,6333 Medbury St,48211,42.378530,-83.031740,313-925-0514,,Monday - Friday from 8:30am - 4:00pm,Type=Pantry; council_district=5; neighborhood_name=Gratiot Town/Kettering,city_food_map,2025-11-21,2026-09-26
sal_cfm_6495_w_warren_ave,PHG Urban Life Center|6495 W Warren Ave,PHG Urban Life Center,6495 W Warren Ave,48210,42.344190,-83.133800,313-897-2381,,3rd Saturdays 10:00am - 12:00pm,Type=Pantry; council_district=6; neighborhood_name=Claytown,city_food_map,2025-11-21,2026-09-26
sal_cfm_7100_e_davison_st,Perfecting Community Care|7100 E Davison St,Perfecting Community Care,7100 E Davison St,48212,42.423280,-83.029880,313-365-2273,,"By appointment Mon - Thurs. from 9:00am-5:00pm, and 9:00am-1:00pm Friday. Drive-up pantry on 4th Wednesday of every month from 1:30pm-2:30pm.",Type=Pantry; council_district=3; neighborhood_name=Grant,city_food_map,2025-11-21,2026-09-26
sal_cfm_7200_mack_ave,GenesisHOPE|7200 Mack Ave,GenesisHOPE,7200 Mack Ave,48214,42.364230,-83.012390,313-571-0937,,Drive-up on Nov. 20 and Dec. 20 at 10:00am,Type=Pantry; council_district=5; neighborhood_name=Islandview,city_food_map,2025-11-21,2026-09-26
sal_cfm_7310_woodward_ave,Wayne Metro's Food Support|7310 Woodward Ave,Wayne Metro's Food Support,7310 Woodward Ave,48202,42.370850,-83.072870,313-388-9799,,Call for an appointment,council_district=5; neighborhood_name=North End,city_food_map,2025-11-21,2026-09-26
sal_cfm_8000_woodward_ave,Metro United Methodist|8000 Woodward Ave,Metro United Methodist,8000 Woodward Ave,48202,42.374750,-83.075430,313-875-7407,,Wednesdays from 12:00pm-2:00pm,council_district=5; neighborhood_name=North End,city_food_map,2025-11-21,2026-09-26
sal_cfm_8300_longworth_st,Urban Neighborhood Initiative|8300 Longworth St,Urban Neighborhood Initiative,8300 Longworth St,48209,42.305090,-83.126180,313-841-4447,,Fridays from 1:30pm - 2:30pm Drive-Up only,Type=Pantry; council_district=6; neighborhood_name=Springwells,city_food_map,2025-11-21,2026-09-26
sal_cfm_8430_linwood_st,New Bethel Baptist Church|8430 Linwood St,New Bethel Baptist Church,8430 Linwood St,0,42.367740,-83.104860,313-894-5788,,Tuesdays at 8:30am,Type=Pantry; council_district=5; neighborhood_name=Virginia Park Community,city_food_map,2025-11-21,2026-09-26
sal_cfm_903_w_grand_blvd,Alternative for girls|903 W Grand Blvd,Alternative for girls,903 W Grand Blvd,48208,42.332980,-83.097580,313-645-6572,,"1st and 3rd Thursdays of the month, from 8:30am - 11:00am",council_district=6; neighborhood_name=Chadsey Condon,city_food_map,2025-11-21,2026-09-26
sal_cfm_9151_chalmers_st,Focus Hope - Eastside Food Center|9151 Chalmers St,Focus Hope - Eastside Food Center,9151 Chalmers St,48213,42.406350,-82.965860,313-494-4600,,"Mon - Thurs from 8:00am - 4:00pm, Fridays from 8:00am - 12:00pm, For ages 60+ years only, need photo ID",Type=Pantry; council_district=4; neighborhood_name=Outer Drive-Hayes,city_food_map,2025-11-21,2026-09-26
sal_cfm_9555_saint_marys_st,Body of Christ International|9555 Saint Marys St,Body of Christ International,9555 Saint Marys St,48227,42.365790,-83.205130,313-848-9359,,Fridays from 9:00am - 11:00am,Type=Pantry; council_district=7; neighborhood_name=Joy Community,city_food_map,2025-11-21,2026-09-26
sal_cfm_w_outer_dr,Bread of Life Food Pantry|W Outer Dr,Bread of Life Food Pantry,W Outer Dr,0,42.420200,-83.187880,313-928-8305,,4th Saturday of the month from 7:30am-10:00am,Type=Pantry; council_district=2; neighborhood_name=Winship,city_food_map,2025-11-21,2026-09-26
